,Longitude,Latitude,District,Neighbourhood,Number of Fatalities,Year,Vehicle Type,Date,Hour,Median Income,Population
0,-79.22759,43.816245,Scarborough,Agincourt/Malvern,2.0,2012.0,Other,2012-01-12T05:00:00.000Z,5.0,68108.0,96664.0
1,-79.263774,43.801421000000005,Scarborough,Agincourt/Malvern,57.0,2015.0, ,2015-11-24T05:00:00.000Z,6.0,68108.0,96664.0
2,-79.20087,43.805159,Scarborough,Agincourt/Malvern,49.0,2015.0,"Automobile, Station Wagon",2015-10-06T04:00:00.000Z,6.0,68108.0,96664.0
3,-79.22429,43.816945000000004,Scarborough,Agincourt/Malvern,36.0,2009.0,Other,2009-10-23T04:00:00.000Z,7.0,68108.0,96664.0
4,-79.289455,43.78575,Scarborough,Agincourt/Malvern,24.0,2014.0, ,2014-08-16T04:00:00.000Z,5.0,68108.0,96664.0
5,-79.29066800000001,43.81116,Scarborough,Agincourt/Malvern,77.0,2016.0, ,2016-12-13T05:00:00.000Z,14.0,68108.0,96664.0
6,-79.28489,43.800545,Scarborough,Agincourt/Malvern,23.0,2011.0,"Automobile, Station Wagon",2011-09-01T04:00:00.000Z,15.0,68108.0,96664.0
7,-79.24006999999999,43.793504999999996,Scarborough,Agincourt/Malvern,27.0,2017.0, ,2017-06-13T04:00:00.000Z,16.0,68108.0,96664.0
8,-79.24306800000001,43.81296,Scarborough,Agincourt/Malvern,8.0,2015.0, ,2015-03-04T05:00:00.000Z,16.0,68108.0,96664.0
9,-79.263789,43.801444000000004,Scarborough,Agincourt/Malvern,24.0,2013.0, ,2013-07-08T04:00:00.000Z,17.0,68108.0,96664.0
10,-79.26992299999999,43.790507,Scarborough,Agincourt/Malvern,2.0,2018.0, ,2018-01-02T05:00:00.000Z,17.0,68108.0,96664.0
11,-79.21767,43.798106,Scarborough,Agincourt/Malvern,18.0,2014.0,Bicycle,2014-08-01T04:00:00.000Z,17.0,68108.0,96664.0
12,-79.22759599999999,43.816252,Scarborough,Agincourt/Malvern,48.0,2014.0, ,2014-12-19T05:00:00.000Z,17.0,68108.0,96664.0
13,-79.240093,43.788844,Scarborough,Agincourt/Malvern,38.0,2013.0, ,2013-09-05T04:00:00.000Z,18.0,68108.0,96664.0
14,-79.255756,43.783583,Scarborough,Agincourt/Malvern,42.0,2016.0,Motorcycle,2016-07-06T04:00:00.000Z,18.0,68108.0,96664.0
15,-79.215091,43.818743,Scarborough,Agincourt/Malvern,1.0,2013.0,"Automobile, Station Wagon",2013-01-10T05:00:00.000Z,18.0,68108.0,96664.0
16,-79.24249,43.793045,Scarborough,Agincourt/Malvern,24.0,2009.0,Other,2009-06-30T04:00:00.000Z,19.0,68108.0,96664.0
17,-79.19909,43.800245000000004,Scarborough,Agincourt/Malvern,12.0,2012.0,Other,2012-04-21T04:00:00.000Z,20.0,68108.0,96664.0
18,-79.284488,43.792746,Scarborough,Agincourt/Malvern,18.0,2013.0,Motorcycle,2013-07-03T04:00:00.000Z,21.0,68108.0,96664.0
19,-79.21289,43.799145,Scarborough,Agincourt/Malvern,6.0,2011.0,Other,2011-03-24T04:00:00.000Z,22.0,68108.0,96664.0
20,-79.213535,43.814105,Scarborough,Agincourt/Malvern,20.0,2018.0,"Automobile, Station Wagon",2018-04-21T04:00:00.000Z,23.0,68108.0,96664.0
21,-79.27089000000001,43.780945,Scarborough,Agincourt/Malvern,27.0,2012.0,"Automobile, Station Wagon",2012-08-25T04:00:00.000Z,23.0,68108.0,96664.0
22,-79.211665,43.816607,Scarborough,Agincourt/Malvern,21.0,2017.0, ,2017-05-05T04:00:00.000Z,23.0,68108.0,96664.0
23,-79.25768599999999,43.809844,Scarborough,Agincourt/Malvern,32.0,2013.0, ,2013-08-18T04:00:00.000Z,10.0,68108.0,96664.0
24,-79.19929,43.800745,Scarborough,Agincourt/Malvern,10.0,2012.0,"Automobile, Station Wagon",2012-04-19T04:00:00.000Z,12.0,68108.0,96664.0
25,-79.447742,43.637614,Toronto and East York,South Parkdale/King West,58.0,2013.0,"Automobile, Station Wagon",2013-11-29T05:00:00.000Z,5.0,63425.0,53029.0
26,-79.423999,43.640547,Toronto and East York,South Parkdale/King West,17.0,2013.0,"Automobile, Station Wagon",2013-06-16T04:00:00.000Z,6.0,63425.0,53029.0
27,-79.43804499999999,43.634032,Toronto and East York,South Parkdale/King West,46.0,2013.0, ,2013-09-30T04:00:00.000Z,8.0,63425.0,53029.0
28,-79.431827,43.63795,Toronto and East York,South Parkdale/King West,50.0,2017.0,Bicycle,2017-10-18T04:00:00.000Z,9.0,63425.0,53029.0
29,-79.44399,43.636445,Toronto and East York,South Parkdale/King West,51.0,2008.0,Other,2008-11-03T05:00:00.000Z,9.0,63425.0,53029.0
30,-79.40189000000001,43.636045,Toronto and East York,South Parkdale/King West,28.0,2008.0,"Automobile, Station Wagon",2008-06-27T04:00:00.000Z,0.0,63425.0,53029.0
31,-79.470248,43.634787,Toronto and East York,South Parkdale/King West,31.0,2012.0,Motorcycle,2012-09-14T04:00:00.000Z,1.0,63425.0,53029.0
32,-79.429286,43.632643,Toronto and East York,South Parkdale/King West,5.0,2012.0,Other,2012-02-06T05:00:00.000Z,2.0,63425.0,53029.0
33,-79.435222,43.633078000000005,Toronto and East York,South Parkdale/King West,68.0,2016.0,"Automobile, Station Wagon",2016-10-31T04:00:00.000Z,2.0,63425.0,53029.0
34,-79.472667,43.633497999999996,Toronto and East York,South Parkdale/King West,9.0,2017.0,"Automobile, Station Wagon",2017-01-29T05:00:00.000Z,3.0,63425.0,53029.0
35,-79.458881,43.637709,Toronto and East York,South Parkdale/King West,30.0,2018.0,Bicycle,2018-05-15T04:00:00.000Z,15.0,63425.0,53029.0
36,-79.436572,43.637053,Toronto and East York,South Parkdale/King West,33.0,2014.0, ,2014-10-09T04:00:00.000Z,17.0,63425.0,53029.0
