Districts,Median total income of households 2015,Population
Baie-D'Urfé,"118,784","3,823"
Beaconsfield,"123,392","19,324"
Côte-Saint-Luc,"58,935","32,448"
Dollard-Des Ormeaux,"78,981","48,899"
Dorval,"64,689","18,980"
Hampstead,"122,496","6,973"
Kirkland,"115,381","20,151"
L'Île-Dorval,,
Mont-Royal,"109,540","20,276"
Montréal,"50,227","1,704,694"
Montréal-Est,"50,318","3,850"
Montréal-Ouest,"115,029","5,050"
Pointe-Claire,"80,242","31,380"
Sainte-Anne-de-Bellevue,"67,200","4,958"
Senneville,"116,224",921
Westmount,"100,153","20,312"
